started,video,serverSynFlags,serverFinFlags,serverAckFlags,serverUrgFlags,serverRstFlags,serverPshFlags,serverByteCount,serverPacketCount,serverMinBytesPerPacket,serverMaxBytesPerPacket,serverMedBytesPerPacket,serverAvgBytesPerPacket,serverStdBytesPerPacket,serverKurBytesPerPacket,serverSkeBytesPerPacket,serverMinBytesInFlight,serverMaxBytesInFlight,serverMedBytesInFlight,serverAvgBytesInFlight,serverStdBytesInFlight,serverKurBytesInFlight,serverSkeBytesInFlight,serverMinInterArrivalTime,serverMaxInterArrivalTime,serverMedInterArrivalTime,serverAvgInterArrivalTime,serverStdInterArrivalTime,serverKurInterArrivalTime,serverSkeInterArrivalTime,serverMinRwnd,serverMaxRwnd,serverMedRwnd,serverAvgRwnd,serverStdRwnd,serverKurRwnd,serverSkeRwnd,serverThroughput,serverIdleTime,serverOutOfOrderBytes,serverOutOfOrderPackets,serverZeroRetransmit,serverOneRetransmit,serverTwoRetransmit,serverXRetransmit,serverMinRetransmit,serverMaxRetransmit,serverMedRetransmit,serverAvgRetransmit,serverStdRetransmit,serverKurRetransmit,serverSkeRetransmit,serverGoodput,userSynFlags,userFinFlags,userAckFlags,userUrgFlags,userRstFlags,userPshFlags,userByteCount,userPacketCount,userMinBytesPerPacket,userMaxBytesPerPacket,userMedBytesPerPacket,userAvgBytesPerPacket,userStdBytesPerPacket,userKurBytesPerPacket,userSkeBytesPerPacket,userMinBytesInFlight,userMaxBytesInFlight,userMedBytesInFlight,userAvgBytesInFlight,userStdBytesInFlight,userKurBytesInFlight,userSkeBytesInFlight,userMinInterArrivalTime,userMaxInterArrivalTime,userMedInterArrivalTime,userAvgInterArrivalTime,userStdInterArrivalTime,userKurInterArrivalTime,userSkeInterArrivalTime,userMinRwnd,userMaxRwnd,userMedRwnd,userAvgRwnd,userStdRwnd,userKurRwnd,userSkeRwnd,userThroughput,userIdleTime,userOutOfOrderBytes,userOutOfOrderPackets,userZeroRetransmit,userOneRetransmit,userTwoRetransmit,userXRetransmit,userMinRetransmit,userMaxRetransmit,userMedRetransmit,userAvgRetransmit,userStdRetransmit,userKurRetransmit,userSkeRetransmit,userGoodput,userMinRTT,userMaxRTT,userMedRTT,userAvgRTT,userStdRTT,userKurRTT,userSkeRTT
0,4973,10,0,1372,0,0,87,1925332,1372,0,1460,1460,1403.303207,269.998674,20.986656,-4.75223,1,64239,54018.5,45508.33577,20410.27365,-0.362508,-0.964702,0.000001,1.013437,0.000001,0.00494,0.034776,521.458644,19.317178,64240,64240,64240,64240,0,-3,0,469593.1707,14,5775996,4086,0.895833,0.128307,0.232804,0.42791,0,13,1,1.669261,1.954629,1.979563,1.323214,469593.1707,3,0,772,0,0,16,2271,775,0,277,0,2.930323,23.098505,87.421576,9.069643,0,277,0,69.257143,88.785566,-0.288551,1.021789,0.00001,1.012952,0.00002,0.009085,0.051072,205.872251,12.217831,29200,65535,65535,63724.92903,5939.894282,21.54442,-4.720889,3244.285714,18,0,0,2.6875,0,0,0.104167,0,745,0,34.227273,155.112256,17.043031,4.363534,3244.285714,0.053883,0.459909,0.126839,0.149568,0.098977,3.707345,1.957458
0,4974,0,3,1285,0,0,68,1854429,1285,0,1460,1460,1443.135409,147.496869,80.798529,-9.031345,0,0,0,0,0,-3,0,0.000001,1.999762,0.000001,0.007781,0.086866,442.507742,20.154879,64239,64240,64240,64239.94475,0.228473,13.157076,-3.893209,561948.1818,2,0,0,0.641667,0.317497,0.066173,0.301426,0,9,2,2.847305,2.640775,-1.139484,0.408258,561948.1818,0,1,610,0,83,6,3480,693,0,1067,0,5.021645,62.816261,237.923844,14.902334,0,1682506947,0,395884057.5,713689745.3,-0.442308,1.248075,0.000001,2.227488,0.000013,0.01493,0.125031,238.209888,14.779113,0,65535,64240,56381.00289,21115.23642,3.117248,-2.235585,8700,5,3222,6748,2.566667,0,0.083333,0.275,0,526,0,52.307692,138.52097,7.533018,3.039351,8700,0.099897,0.277996,0.18549,0.187218,0.06372,-1.087366,0.07762
0,4975,12,0,4918,0,0,310,7096420,4918,0,1460,1460,1442.948353,148.797872,80.795073,-9.019163,1,64239,54020,48126.12133,17490.33729,0.212695,-1.092887,0.000001,7.648269,0.000002,0.005672,0.122309,3231.716321,54.437682,64240,64240,64240,64240,0,-3,0,771350,1,28385680,19624,0.841667,0.213096,0.077618,0.424122,0,7,2,2.11858,1.616894,-1.32254,-0.008742,771350,3,0,4354,0,0,16,11121,4357,0,1077,0,2.552444,48.089884,453.572795,20.94656,0,1077,0,317.828571,433.292147,-0.734626,0.997215,0.000001,7.521931,0.000013,0.006196,0.125715,3020.957856,52.724515,29200,65535,65535,65237.82006,2531.416768,167.913077,-12.777199,10110,9,0,0,2.525,0,0.083333,0.075,0,3026,0,197.045455,674.561708,11.400106,3.532542,10110,0.077963,0.580072,0.177979,0.205606,0.123663,2.76381,1.744997
0,4976,18,0,4484,0,0,303,6425533,4484,0,1460,1460,1432.991302,187.561796,49.061264,-7.074217,1,64239,54020,47751.42017,17675.4312,0.42167,-1.169259,0.000001,4.000165,0.000001,0.008485,0.11441,906.629021,28.492974,64240,64240,64240,64240,0,-3,0,690917.5269,1,21689003,15084,0.791667,0.233756,0.148857,0.379023,0,5,1,1.400428,1.246511,-0.689885,0.579705,690917.5269,5,0,3738,0,0,21,12347,3743,0,1078,0,3.298691,52.598972,366.905642,18.688569,0,1078,0,268.755556,396.716644,0.109714,1.31071,0.000001,7.297783,0.000016,0.010244,0.170438,1433.83191,36.53286,29200,65535,65535,64949.29682,3803.049043,66.137308,-8.075657,7262.941176,8,0,0,3.958333,0.033333,0.05,0.125,0,2183,0,123.766667,454.458116,12.917363,3.763839,7262.941176,0.091076,1.313925,0.179529,0.280011,0.270862,7.79383,2.791651
0,4977,2,2,995,0,0,227,1431477,995,0,1460,1460,1438.670352,167.827238,64.164592,-8.072374,1,64239,14600,21133.32037,17413.80635,-0.741858,0.763501,0.000001,0.62397,0.000003,0.004422,0.027972,247.259465,12.854284,64239,64240,64240,64239.99799,0.044789,492.502014,-22.237401,753408.9474,36,1431477,993,0.833333,0,0,0.002131,0,3,0,0.006067,0.134772,489.502026,22.169845,753408.9474,2,2,409,0,0,6,1734,411,0,518,0,4.218978,39.98346,131.652353,11.112832,0,518,0,108.5,172.648849,0.967967,1.517242,0.000001,0.585817,0.000081,0.011271,0.041323,91.286182,7.691688,29200,65535,65535,63444.06326,6549.591519,15.33087,-3.983471,5780,38,0,0,1.666667,0,0,0.166667,0,217,0,33.25,74.691728,1.395964,1.825454,5780,0.081062,0.439167,0.20051,0.241558,0.1427,-1.509055,0.391727
1,4978,0,0,1102,0,0,63,1595723,1102,0,1460,1460,1448.024501,112.375482,121.508039,-10.698791,0,552542212,0,3421314.006,43344146.31,156.506231,12.589926,0.000001,0.230233,0.000002,0.002452,0.016061,65.079553,7.5139,64240,64240,64240,64240,0,-3,0,1139802.143,5,0,0,0.555556,0.056768,0.159267,0.164109,0,5,1,1.416667,1.573376,-0.625129,0.739816,1139802.143,0,0,810,0,0,2,2189,810,0,1095,0,2.702469,54.318963,400.002814,20.050006,0,1095,0,218.9,437.800057,0.250005,1.500001,0.000002,0.229801,0.000018,0.003338,0.019601,57.840578,7.113135,65535,65535,65535,65535,0,-3,0,10945,6,2189,808,1.666667,0,0,0.444444,0,439,183.5,201.5,203.101576,-1.937904,0.046755,10945,0.162125,0.594139,0.378132,0.378132,0.216007,-2,0
0,4979,13,0,2360,0,0,189,3292430,2360,0,1460,1460,1395.097458,285.062503,17.542061,-4.376076,1,64239,52560,45299.97496,19593.75919,-0.256535,-0.978584,0.000001,4.526809,0.000001,0.005805,0.095257,2150.73648,45.429229,64240,64240,64240,64240,0,-3,0,522607.9365,9,9877290,7041,0.776658,0.20032,0.187293,0.309322,0,28,1,1.199441,1.433626,111.791689,6.337288,522607.9365,4,0,1875,0,0,38,6480,1879,0,498,0,3.448643,30.505296,146.773493,11.371151,0,498,19,94.15,135.492813,1.383881,1.527235,0.000001,4.434218,0.000013,0.007736,0.10556,1646.261659,39.425189,29200,65535,65535,64260.85684,5231.518405,27.415334,-5.266547,3811.764706,14,0,0,3.106631,0.125,0,0.098342,0,1686,0,39.847826,246.184004,40.460433,6.496653,3811.764706,0.032187,8.618116,0.134587,0.500251,1.48765,23.231305,4.864678
0,4980,32,2,2810,0,0,193,3902048,2810,0,1460,1460,1388.629181,300.560241,15.791442,-4.177573,1,64239,43799,38564.45455,21854.35455,-1.104175,-0.516868,0.000001,11.675892,0.000001,0.028882,0.393558,584.85146,23.114775,64239,64240,64240,64239.99964,0.018861,2805.000356,-52.981132,382553.7255,22,15608192,11112,0.748051,0.061471,0.135681,0.39522,0,28,2,2.597951,3.010387,6.913305,1.790395,382553.7255,8,1,1725,0,1,49,7548,1733,0,786,0,4.355453,34.638793,206.656033,12.483494,0,786,38,85.626168,137.855235,8.114835,2.578748,0.00001,18.80789,0.000014,0.058574,0.674915,446.786438,19.637553,29200,65535,65535,63709.02712,6781.083603,16.377745,-4.192276,3145,30,0,0,5.984409,0.0625,0.104167,0.085282,0,1477,0,24.865672,179.784522,60.529742,7.868555,3145,0.052929,0.459909,0.159502,0.173245,0.096658,1.13487,1.166291
0,4981,18,0,2660,0,0,192,3711122,2660,0,1460,1460,1395.158647,290.058901,17.74851,-4.418034,1,64239,48180,40904.57774,21762.63898,-1.067518,-0.602655,0.000001,1.999671,0.000001,0.006072,0.053367,815.994269,25.082549,64240,64240,64240,64240,0,-3,0,494816.2667,12,11133366,7926,0.769637,0.257879,0.34678,0.060403,0,25,1,1.449355,1.893751,21.398441,2.641287,494816.2667,6,0,2018,0,1,46,6077,2024,0,350,0,3.00247,24.438385,107.969617,9.984799,0,668,40,83.479167,122.297535,4.534722,1.96792,0.000001,10.263902,0.000021,0.013367,0.236505,1748.35804,40.714709,29200,65535,65535,63745.64427,6168.878844,18.194434,-4.366431,2762.272727,17,0,0,4.617821,0.101852,0,0.128511,0,1786,0,33.896552,232.865633,52.25864,7.343148,2762.272727,0.01502,1.771927,0.172138,0.294374,0.374506,6.827358,2.753059
0,4982,2,2,1005,0,0,221,1441686,1005,0,1460,1460,1434.513433,185.549288,53.366085,-7.399828,1,64239,17520,21708.11213,15989.27897,-0.721657,0.606711,0.000001,0.648811,0.000003,0.004311,0.028046,281.361295,13.777703,64239,64240,64240,64239.99801,0.044566,497.501994,-22.349541,800936.6667,19,1441686,1003,0.833333,0,0,0.002085,0,3,0,0.006006,0.134097,494.502006,22.282325,800936.6667,2,2,428,0,0,6,1734,430,0,518,0,4.032558,39.09974,137.955405,11.372661,0,518,0,108.5,172.648849,0.967967,1.517242,0.000001,0.609932,0.000058,0.010611,0.040909,107.283939,8.390287,29200,65535,65535,63584.63954,6427.61395,16.245172,-4.091252,5780,21,0,0,1.666667,0,0,0.166667,0,237,0,34.833333,78.724026,1.64661,1.872516,5780,0.077009,0.393867,0.175595,0.212193,0.119381,-1.456387,0.412948
